num,global_rounds,id_list
3,0,"[94, 77, 19, 48, 58, 63, 8, 31, 40, 49, 13, 46, 28, 26, 12, 45, 86, 42, 41, 53, 7, 17, 0, 37, 27, 98, 36, 60, 89, 33, 21, 82, 70, 93, 61, 81, 54, 6, 29, 76, 97, 35, 83, 50, 68, 23, 80, 64, 75, 65, 2, 10, 18, 4, 24, 79, 95, 44, 92, 91]"
4,1,"[65, 15, 68, 24, 61, 33, 59, 55, 8, 63, 70, 64, 80, 13, 27, 76, 20, 96, 19, 42, 35, 22, 31, 60, 10, 56, 83, 46, 1, 78, 11, 51, 82, 58, 77, 99, 6, 81, 94, 40, 89, 12, 16, 87, 93, 0, 53, 47, 95, 44, 28, 26, 92, 5, 72, 69, 73, 29, 37, 23]"
5,2,"[95, 71, 87, 31, 27, 24, 39, 36, 48, 60, 53, 69, 21, 41, 18, 3, 37, 38, 10, 79, 4, 65, 91, 83, 11, 84, 40, 29, 61, 63, 85, 98, 13, 7, 86, 93, 43, 80, 46, 5, 26, 15, 78, 44, 88, 54, 25, 8, 49, 58, 59, 64, 74, 75, 32, 92, 42, 76, 57, 62]"
6,3,"[37, 47, 55, 1, 40, 51, 11, 87, 92, 14, 0, 45, 28, 90, 9, 15, 69, 54, 70, 67, 8, 18, 82, 35, 58, 22, 99, 13, 49, 84, 21, 68, 32, 38, 97, 17, 64, 48, 61, 86, 75, 72, 2, 16, 66, 41, 73, 29, 26, 12, 95, 7, 31, 5, 65, 25, 20, 24, 43, 46]"
7,4,"[98, 43, 61, 88, 54, 77, 25, 64, 67, 49, 35, 40, 82, 31, 18, 44, 12, 13, 60, 66, 17, 95, 33, 94, 23, 70, 46, 76, 45, 57, 28, 56, 73, 85, 63, 71, 37, 55, 30, 53, 27, 97, 51, 50, 42, 3, 90, 4, 29, 32, 62, 79, 69, 41, 8, 36, 87, 89, 68, 16]"
8,5,"[67, 90, 77, 64, 76, 30, 0, 51, 48, 4, 31, 20, 58, 29, 9, 36, 80, 96, 2, 68, 8, 91, 15, 26, 66, 52, 28, 7, 21, 27, 11, 42, 38, 95, 82, 33, 53, 56, 84, 60, 71, 10, 1, 41, 88, 34, 13, 78, 72, 70, 85, 47, 14, 46, 49, 69, 44, 81, 40, 17]"
9,6,"[24, 80, 38, 1, 54, 99, 25, 23, 71, 86, 11, 67, 18, 88, 77, 14, 27, 92, 61, 51, 43, 53, 58, 68, 40, 72, 66, 16, 44, 74, 8, 79, 83, 50, 64, 63, 20, 47, 55, 19, 21, 85, 41, 4, 45, 76, 29, 10, 39, 36, 15, 69, 78, 90, 97, 46, 94, 82, 91, 0]"
10,7,"[8, 66, 68, 27, 11, 99, 86, 97, 75, 7, 82, 15, 85, 50, 25, 13, 19, 73, 22, 5, 4, 57, 10, 47, 93, 56, 64, 29, 98, 70, 58, 30, 51, 59, 0, 71, 84, 95, 17, 33, 65, 63, 67, 26, 74, 77, 80, 69, 39, 46, 35, 96, 53, 81, 28, 34, 94, 38, 24, 83]"
11,8,"[74, 35, 52, 75, 69, 50, 5, 22, 46, 25, 72, 16, 86, 21, 33, 24, 54, 66, 81, 98, 23, 36, 27, 84, 44, 65, 3, 63, 95, 32, 83, 97, 14, 41, 15, 40, 90, 20, 87, 39, 82, 7, 9, 34, 88, 56, 30, 55, 11, 4, 18, 77, 73, 42, 8, 26, 57, 76, 12, 51]"
12,9,"[19, 89, 74, 41, 14, 92, 23, 27, 8, 99, 4, 5, 29, 33, 13, 32, 1, 30, 97, 45, 51, 34, 63, 2, 70, 39, 93, 78, 82, 50, 43, 26, 61, 76, 28, 52, 95, 81, 9, 31, 72, 15, 77, 49, 87, 90, 54, 84, 38, 98, 65, 67, 66, 12, 3, 16, 46, 60, 47, 24]"
