num,global_rounds,id_list
0,0,"[26, 42, 23, 10, 16, 9, 30, 25, 36, 14]"
1,1,"[34, 33, 44, 32, 35, 14, 36, 47, 7, 1]"
2,2,"[8, 26, 24, 40, 3, 48, 38, 11, 45, 17]"
3,3,"[17, 47, 25, 1, 42, 34, 30, 23, 20, 14]"
4,4,"[4, 45, 14, 37, 44, 39, 43, 23, 34, 29]"
5,5,"[31, 41, 43, 5, 34, 39, 21, 13, 27, 18]"
6,6,"[21, 37, 15, 24, 9, 6, 49, 35, 42, 17]"
7,7,"[5, 1, 45, 40, 39, 3, 4, 23, 21, 17]"
8,8,"[45, 22, 3, 38, 10, 34, 39, 47, 49, 15]"
9,9,"[4, 34, 9, 6, 22, 13, 0, 20, 24, 16]"
10,10,"[46, 3, 42, 31, 48, 35, 40, 29, 14, 15]"
11,11,"[29, 46, 28, 41, 18, 19, 42, 48, 32, 36]"
12,12,"[6, 22, 27, 37, 18, 0, 36, 14, 42, 2]"
13,13,"[15, 34, 42, 49, 47, 5, 8, 19, 38, 7]"
14,14,"[16, 6, 15, 47, 44, 8, 31, 43, 24, 27]"
15,15,"[45, 4, 48, 24, 12, 30, 7, 20, 2, 14]"
16,16,"[4, 28, 29, 2, 34, 22, 23, 7, 9, 5]"
17,17,"[34, 14, 21, 13, 9, 6, 7, 43, 4, 45]"
18,18,"[29, 43, 22, 21, 18, 26, 4, 7, 17, 11]"
19,19,"[26, 10, 12, 28, 25, 15, 44, 16, 31, 23]"
20,20,"[48, 43, 2, 24, 20, 42, 34, 13, 31, 8]"
21,21,"[43, 4, 31, 8, 28, 49, 23, 46, 2, 48]"
22,22,"[24, 17, 34, 49, 3, 16, 33, 9, 2, 42]"
23,23,"[15, 42, 9, 14, 36, 40, 22, 16, 38, 29]"
24,24,"[43, 4, 34, 10, 18, 39, 9, 47, 5, 0]"
25,25,"[30, 35, 8, 34, 31, 49, 44, 9, 13, 32]"
26,26,"[49, 35, 20, 33, 27, 19, 44, 42, 34, 17]"
27,27,"[26, 35, 25, 31, 36, 40, 20, 9, 10, 14]"
28,28,"[15, 23, 47, 22, 42, 26, 44, 14, 46, 16]"
29,29,"[17, 39, 11, 5, 35, 32, 13, 29, 16, 9]"
30,30,"[9, 33, 45, 34, 14, 7, 35, 15, 2, 31]"
31,31,"[3, 15, 14, 21, 27, 10, 1, 20, 26, 11]"
32,32,"[49, 23, 16, 5, 30, 42, 9, 0, 28, 7]"
33,33,"[27, 38, 11, 14, 1, 4, 42, 15, 31, 40]"
34,34,"[4, 43, 15, 40, 25, 24, 32, 37, 28, 1]"
35,35,"[9, 7, 37, 30, 25, 3, 5, 33, 42, 15]"
36,36,"[11, 17, 44, 20, 49, 36, 41, 38, 34, 35]"
37,37,"[14, 37, 44, 41, 7, 48, 5, 0, 10, 34]"
