1,*********************,*********************
2,global_rounds,id_list
3,0,"[22, 2, 71, 15, 29, 41, 93, 90, 95, 7, 99, 3, 89, 75, 98, 12, 17, 11, 60, 6, 35, 20, 85, 50, 0, 13, 51, 30, 97, 62, 56, 1, 47, 58, 74, 52, 16, 96, 36, 31]"
4,1,"[16, 17, 32, 14, 15, 5, 54, 88, 51, 29, 85, 67, 34, 36, 8, 26, 23, 73, 55, 40, 13, 44, 46, 69, 53, 89, 43, 61, 68, 11, 97, 80, 66, 19, 58, 81, 7, 24, 30, 49]"
5,2,"[73, 53, 5, 9, 24, 82, 3, 77, 36, 8, 93, 51, 27, 13, 61, 99, 97, 78, 35, 94, 7, 18, 76, 57, 40, 83, 87, 70, 69, 12, 65, 10, 56, 58, 49, 23, 20, 38, 55, 71]"
6,3,"[50, 56, 72, 80, 31, 58, 98, 24, 51, 36, 82, 94, 97, 15, 32, 73, 48, 19, 61, 6, 10, 76, 83, 12, 78, 84, 0, 39, 26, 30, 69, 34, 70, 7, 68, 28, 20, 47, 54, 74]"
7,4,"[60, 75, 20, 56, 61, 26, 84, 54, 12, 85, 51, 62, 97, 8, 67, 9, 88, 29, 86, 79, 10, 27, 45, 40, 30, 63, 71, 32, 38, 0, 99, 94, 4, 34, 80, 7, 21, 52, 96, 22]"
8,5,"[24, 33, 53, 41, 54, 16, 8, 79, 25, 50, 29, 45, 56, 36, 99, 76, 63, 93, 83, 39, 30, 2, 13, 19, 67, 44, 61, 86, 11, 4, 37, 21, 75, 84, 40, 9, 5, 0, 49, 92]"
9,6,"[96, 24, 34, 40, 47, 82, 56, 35, 75, 95, 99, 54, 45, 59, 7, 97, 36, 84, 0, 41, 30, 90, 70, 58, 57, 21, 53, 18, 17, 51, 38, 85, 87, 62, 52, 43, 37, 60, 63, 10]"
10,7,"[40, 65, 15, 23, 24, 80, 78, 89, 72, 6, 46, 44, 82, 30, 86, 27, 13, 17, 90, 35, 36, 92, 3, 98, 42, 37, 67, 28, 33, 2, 68, 16, 73, 22, 7, 95, 26, 20, 85, 19]"
11,8,"[90, 74, 41, 54, 93, 3, 39, 70, 8, 60, 20, 76, 33, 73, 91, 9, 92, 80, 15, 18, 88, 0, 12, 64, 5, 43, 67, 55, 1, 53, 52, 97, 28, 86, 44, 79, 50, 66, 71, 13]"
12,9,"[8, 78, 44, 96, 84, 23, 90, 86, 18, 73, 21, 59, 74, 46, 24, 30, 12, 25, 17, 40, 82, 26, 89, 41, 42, 35, 13, 69, 22, 16, 98, 31, 75, 14, 64, 39, 34, 70, 48, 85]"
13,10,"[65, 23, 88, 2, 48, 52, 94, 67, 24, 98, 64, 91, 17, 81, 47, 82, 97, 10, 41, 18, 21, 12, 90, 92, 71, 7, 78, 57, 93, 33, 66, 60, 4, 20, 95, 30, 46, 73, 11, 72]"
14,11,"[20, 48, 7, 89, 38, 87, 46, 73, 50, 9, 98, 90, 93, 69, 63, 6, 75, 10, 77, 51, 1, 19, 80, 41, 30, 55, 94, 47, 60, 56, 99, 61, 14, 70, 66, 16, 13, 68, 40, 26]"
15,12,"[54, 45, 61, 47, 44, 28, 75, 74, 11, 97, 67, 29, 64, 17, 65, 76, 69, 73, 55, 60, 57, 22, 91, 12, 59, 49, 88, 48, 30, 89, 36, 77, 93, 50, 32, 71, 90, 21, 86, 56]"
16,13,"[99, 82, 25, 37, 51, 28, 16, 55, 84, 98, 13, 65, 49, 87, 60, 19, 53, 29, 66, 22, 21, 36, 40, 9, 4, 0, 90, 71, 45, 41, 92, 72, 58, 33, 42, 69, 86, 81, 56, 23]"
17,14,"[11, 75, 76, 51, 12, 32, 81, 3, 57, 63, 1, 7, 6, 94, 35, 72, 84, 70, 21, 17, 99, 9, 93, 33, 79, 96, 42, 50, 83, 29, 20, 59, 23, 74, 44, 60, 28, 16, 52, 25]"
18,15,"[73, 77, 26, 47, 48, 89, 2, 88, 95, 49, 90, 63, 70, 16, 4, 61, 58, 80, 57, 98, 93, 45, 82, 20, 18, 50, 97, 92, 3, 65, 60, 15, 14, 1, 44, 38, 64, 0, 13, 11]"
19,16,"[85, 37, 92, 88, 13, 49, 22, 83, 66, 78, 3, 32, 68, 63, 70, 64, 93, 46, 91, 40, 77, 14, 41, 19, 71, 6, 12, 4, 29, 80, 20, 69, 45, 17, 38, 30, 62, 18, 2, 87]"
20,17,"[21, 68, 3, 27, 54, 59, 14, 39, 91, 30, 42, 86, 2, 82, 77, 25, 96, 95, 18, 34, 12, 47, 8, 88, 81, 31, 79, 76, 97, 9, 37, 66, 43, 29, 67, 46, 1, 44, 71, 94]"
21,18,"[92, 68, 44, 41, 55, 8, 98, 79, 36, 16, 5, 14, 24, 6, 67, 53, 20, 12, 59, 10, 9, 43, 2, 34, 72, 69, 39, 22, 82, 21, 33, 15, 70, 19, 13, 31, 96, 81, 28, 23]"
22,19,"[21, 23, 61, 3, 85, 39, 24, 89, 1, 67, 40, 36, 9, 74, 66, 35, 98, 45, 51, 41, 0, 52, 55, 12, 92, 68, 77, 47, 99, 49, 53, 20, 88, 82, 42, 97, 63, 32, 37, 87]"
23,20,"[23, 77, 11, 85, 63, 39, 91, 72, 55, 61, 60, 38, 6, 65, 10, 56, 57, 20, 2, 89, 86, 78, 64, 76, 97, 49, 12, 62, 1, 47, 30, 98, 84, 5, 22, 4, 32, 80, 87, 81]"
24,21,"[42, 66, 67, 11, 60, 1, 7, 39, 76, 47, 37, 53, 90, 73, 59, 75, 29, 89, 16, 33, 78, 84, 96, 22, 52, 43, 55, 17, 99, 34, 85, 44, 74, 93, 97, 92, 91, 72, 86, 49]"
25,22,"[73, 87, 66, 91, 62, 98, 75, 80, 78, 3, 55, 19, 12, 17, 5, 24, 36, 0, 76, 47, 32, 18, 40, 9, 82, 96, 29, 30, 27, 26, 59, 48, 23, 57, 28, 34, 99, 1, 6, 22]"
26,23,"[15, 25, 36, 96, 24, 23, 56, 37, 47, 2, 28, 66, 18, 48, 9, 1, 21, 55, 79, 98, 35, 49, 90, 12, 86, 92, 60, 89, 95, 54, 65, 6, 4, 78, 71, 26, 85, 81, 5, 34]"
27,24,"[88, 8, 97, 73, 30, 72, 24, 29, 39, 47, 61, 6, 26, 51, 98, 15, 21, 65, 54, 87, 76, 62, 94, 71, 59, 50, 41, 48, 1, 68, 56, 77, 84, 34, 89, 86, 67, 74, 52, 19]"
28,25,"[35, 94, 79, 47, 91, 72, 55, 27, 48, 42, 11, 5, 31, 34, 68, 89, 99, 67, 61, 96, 74, 54, 28, 77, 39, 98, 10, 21, 82, 59, 4, 38, 18, 13, 53, 36, 2, 73, 45, 87]"
29,26,"[30, 78, 59, 47, 34, 14, 53, 98, 33, 67, 89, 87, 41, 7, 39, 1, 56, 45, 31, 0, 63, 9, 25, 73, 40, 10, 72, 93, 76, 51, 99, 26, 28, 82, 19, 57, 86, 46, 84, 75]"
30,27,"[46, 93, 74, 64, 69, 61, 92, 31, 29, 48, 58, 12, 2, 68, 36, 51, 44, 11, 80, 71, 20, 86, 21, 30, 82, 65, 42, 27, 63, 85, 10, 40, 54, 16, 28, 13, 43, 62, 15, 1]"
31,28,"[89, 75, 86, 5, 6, 62, 80, 37, 77, 48, 26, 63, 65, 69, 92, 11, 44, 50, 84, 36, 12, 9, 97, 90, 61, 21, 0, 14, 74, 40, 73, 81, 52, 29, 2, 41, 7, 17, 16, 98]"
32,29,"[47, 3, 28, 67, 1, 98, 12, 11, 77, 36, 69, 23, 45, 61, 97, 24, 86, 92, 87, 34, 9, 94, 56, 99, 72, 95, 40, 80, 49, 7, 58, 84, 18, 2, 38, 27, 55, 66, 4, 63]"
33,30,"[2, 98, 70, 91, 15, 26, 56, 4, 73, 61, 42, 13, 46, 3, 54, 72, 37, 75, 71, 88, 47, 92, 23, 85, 60, 84, 16, 76, 49, 66, 8, 86, 83, 34, 44, 36, 81, 18, 97, 59]"
34,31,"[87, 47, 14, 29, 62, 53, 42, 89, 58, 64, 8, 38, 79, 55, 99, 32, 96, 5, 15, 57, 6, 98, 71, 34, 72, 67, 59, 3, 73, 48, 28, 44, 91, 81, 23, 97, 49, 2, 93, 74]"
35,32,"[6, 87, 67, 65, 64, 63, 40, 30, 88, 93, 10, 98, 3, 56, 31, 7, 51, 25, 42, 15, 23, 55, 16, 94, 81, 50, 47, 4, 38, 41, 85, 57, 92, 27, 69, 45, 61, 62, 18, 36]"
36,33,"[61, 17, 54, 21, 83, 28, 71, 63, 72, 11, 55, 45, 37, 22, 49, 0, 94, 13, 34, 97, 3, 39, 89, 59, 9, 64, 62, 48, 99, 82, 43, 25, 10, 76, 44, 5, 47, 91, 85, 74]"
37,34,"[49, 99, 44, 36, 57, 63, 96, 43, 91, 51, 8, 40, 16, 14, 58, 95, 81, 32, 45, 87, 56, 62, 80, 38, 76, 98, 15, 86, 29, 52, 4, 26, 84, 35, 41, 27, 89, 33, 34, 75]"
38,35,"[45, 31, 85, 21, 63, 78, 70, 8, 83, 77, 94, 86, 5, 4, 97, 68, 27, 18, 40, 52, 0, 57, 54, 14, 17, 6, 46, 20, 67, 42, 55, 7, 39, 19, 87, 2, 89, 99, 32, 51]"
39,36,"[89, 18, 59, 62, 17, 45, 88, 37, 96, 47, 85, 20, 8, 76, 50, 61, 48, 16, 6, 72, 28, 0, 19, 81, 98, 86, 4, 35, 63, 14, 46, 44, 70, 25, 68, 5, 38, 7, 22, 2]"
40,37,"[78, 32, 58, 12, 94, 55, 56, 37, 72, 9, 89, 24, 60, 81, 38, 68, 54, 77, 53, 92, 3, 80, 47, 88, 8, 11, 48, 63, 33, 35, 83, 87, 91, 18, 62, 65, 19, 34, 15, 13]"
41,38,"[99, 25, 70, 10, 69, 19, 60, 34, 95, 14, 0, 54, 28, 42, 40, 30, 83, 11, 20, 92, 27, 4, 79, 41, 5, 12, 85, 72, 93, 78, 31, 43, 96, 48, 84, 33, 39, 46, 13, 65]"
42,39,"[61, 77, 58, 10, 56, 74, 31, 50, 41, 0, 84, 7, 33, 49, 18, 82, 80, 3, 83, 73, 45, 95, 64, 65, 81, 93, 8, 11, 42, 16, 86, 97, 36, 20, 76, 39, 92, 87, 55, 47]"
43,40,"[68, 65, 49, 13, 7, 85, 98, 25, 38, 78, 92, 99, 62, 75, 19, 1, 33, 6, 37, 4, 94, 63, 67, 46, 32, 20, 53, 73, 35, 29, 26, 79, 10, 47, 60, 66, 80, 12, 64, 52]"
44,41,"[77, 61, 22, 38, 91, 39, 4, 19, 72, 70, 92, 40, 6, 53, 43, 12, 59, 17, 67, 60, 71, 24, 65, 63, 45, 87, 66, 54, 34, 31, 28, 55, 64, 9, 74, 52, 36, 80, 37, 18]"
45,42,"[44, 43, 35, 15, 65, 64, 10, 60, 86, 78, 49, 81, 9, 41, 53, 90, 26, 87, 42, 91, 12, 75, 83, 76, 16, 56, 37, 79, 23, 52, 72, 30, 33, 38, 40, 18, 95, 74, 7, 13]"
46,43,"[1, 91, 8, 77, 49, 68, 20, 22, 96, 34, 19, 53, 13, 27, 75, 80, 37, 67, 66, 18, 70, 84, 33, 87, 86, 26, 11, 6, 71, 62, 95, 47, 14, 59, 35, 57, 17, 89, 31, 65]"
47,44,"[49, 29, 21, 95, 76, 68, 31, 17, 24, 53, 89, 87, 16, 93, 83, 1, 43, 37, 97, 50, 98, 48, 11, 5, 15, 57, 38, 86, 60, 19, 18, 67, 3, 84, 96, 56, 62, 13, 14, 73]"
48,45,"[10, 72, 67, 37, 49, 78, 38, 85, 94, 93, 56, 22, 11, 36, 21, 89, 98, 29, 84, 44, 95, 79, 57, 80, 43, 60, 46, 65, 62, 66, 39, 2, 70, 32, 16, 81, 86, 83, 25, 0]"
49,46,"[63, 8, 60, 54, 23, 77, 61, 56, 29, 98, 55, 72, 73, 83, 47, 45, 78, 84, 43, 27, 99, 11, 35, 41, 80, 46, 70, 39, 4, 53, 71, 32, 87, 20, 2, 40, 88, 26, 48, 1]"
50,47,"[53, 19, 70, 72, 86, 32, 40, 55, 10, 6, 39, 57, 80, 83, 79, 45, 11, 65, 13, 75, 74, 56, 89, 26, 58, 78, 38, 68, 12, 44, 4, 54, 30, 46, 18, 43, 2, 60, 51, 0]"
51,48,"[28, 91, 42, 60, 4, 62, 84, 29, 19, 43, 37, 68, 75, 40, 26, 98, 59, 78, 82, 6, 71, 23, 54, 1, 47, 74, 46, 8, 35, 14, 2, 55, 10, 7, 85, 70, 50, 57, 3, 45]"
52,49,"[70, 36, 41, 85, 10, 69, 16, 33, 19, 61, 73, 46, 37, 23, 29, 9, 7, 79, 53, 8, 14, 68, 56, 15, 31, 91, 13, 44, 97, 1, 50, 22, 26, 25, 11, 42, 72, 67, 4, 99]"
53,50,"[35, 76, 36, 46, 89, 13, 82, 50, 83, 88, 71, 14, 59, 79, 66, 18, 45, 20, 15, 99, 70, 98, 9, 37, 2, 8, 34, 72, 17, 11, 12, 19, 62, 1, 27, 52, 78, 7, 61, 49]"
54,51,"[17, 10, 21, 79, 13, 57, 44, 49, 56, 52, 72, 55, 2, 1, 78, 15, 94, 64, 26, 67, 68, 51, 45, 73, 11, 77, 22, 12, 85, 89, 47, 71, 66, 75, 81, 28, 36, 63, 14, 90]"
55,52,"[68, 65, 99, 69, 15, 70, 12, 27, 79, 39, 66, 16, 11, 72, 51, 90, 62, 37, 0, 9, 58, 29, 55, 56, 83, 88, 7, 20, 63, 71, 78, 57, 97, 50, 30, 41, 23, 75, 67, 42]"
56,53,"[45, 14, 83, 23, 4, 58, 15, 36, 44, 0, 88, 37, 42, 21, 17, 25, 94, 38, 22, 3, 92, 48, 59, 56, 78, 12, 75, 82, 13, 87, 31, 74, 60, 27, 19, 81, 46, 34, 70, 73]"
57,54,"[0, 66, 80, 93, 48, 60, 25, 89, 27, 45, 43, 14, 81, 22, 34, 87, 63, 32, 88, 52, 86, 58, 82, 2, 92, 15, 73, 13, 7, 5, 39, 40, 12, 37, 3, 78, 53, 83, 6, 50]"
58,55,"[79, 37, 31, 73, 20, 42, 51, 80, 44, 11, 76, 1, 71, 45, 89, 33, 63, 72, 62, 38, 36, 61, 16, 26, 41, 2, 64, 46, 19, 0, 57, 60, 6, 65, 98, 90, 75, 17, 12, 85]"
59,56,"[41, 64, 25, 34, 42, 55, 86, 6, 99, 95, 37, 56, 88, 79, 90, 32, 2, 8, 28, 87, 54, 69, 23, 63, 10, 58, 89, 16, 59, 80, 43, 84, 7, 3, 21, 24, 96, 45, 17, 5]"
60,57,"[5, 56, 45, 59, 9, 99, 95, 27, 54, 8, 13, 18, 2, 4, 14, 43, 22, 67, 82, 38, 34, 55, 53, 73, 61, 65, 49, 0, 52, 40, 72, 69, 46, 98, 15, 96, 85, 90, 91, 74]"
61,58,"[40, 47, 46, 45, 3, 81, 55, 51, 37, 59, 87, 63, 9, 33, 4, 44, 53, 21, 76, 91, 1, 88, 89, 64, 11, 85, 82, 26, 14, 73, 61, 43, 0, 22, 94, 39, 69, 95, 93, 41]"
62,59,"[52, 87, 58, 84, 16, 15, 51, 92, 91, 72, 8, 95, 67, 25, 9, 22, 11, 81, 12, 18, 89, 60, 97, 40, 45, 3, 61, 34, 43, 64, 27, 5, 32, 55, 75, 73, 98, 2, 36, 47]"
63,60,"[70, 36, 62, 23, 35, 71, 80, 31, 12, 77, 58, 20, 4, 69, 28, 57, 44, 6, 66, 93, 88, 3, 86, 32, 34, 90, 39, 11, 49, 97, 48, 83, 0, 26, 18, 60, 55, 7, 41, 46]"
64,61,"[90, 40, 31, 6, 8, 73, 45, 55, 11, 18, 89, 48, 96, 51, 82, 57, 23, 84, 35, 60, 52, 69, 64, 63, 47, 65, 61, 33, 26, 20, 1, 32, 5, 42, 10, 94, 86, 72, 58, 99]"
65,62,"[23, 3, 0, 21, 8, 67, 24, 88, 13, 60, 32, 81, 15, 59, 11, 16, 95, 48, 91, 35, 50, 83, 34, 5, 89, 28, 20, 40, 96, 4, 25, 62, 77, 31, 9, 30, 80, 27, 78, 53]"
66,63,"[83, 78, 33, 18, 69, 92, 90, 19, 97, 71, 5, 57, 76, 29, 52, 16, 30, 3, 93, 77, 95, 6, 60, 85, 49, 0, 45, 75, 73, 1, 15, 22, 9, 4, 88, 81, 55, 28, 50, 42]"
67,64,"[43, 50, 10, 86, 18, 93, 20, 23, 11, 63, 73, 8, 16, 37, 74, 31, 44, 78, 21, 58, 32, 42, 80, 94, 91, 25, 85, 97, 89, 99, 40, 79, 35, 12, 69, 2, 5, 47, 81, 55]"
68,65,"[84, 27, 10, 26, 3, 64, 53, 56, 43, 32, 99, 50, 58, 83, 81, 47, 33, 52, 21, 67, 28, 97, 29, 75, 79, 35, 71, 17, 93, 40, 46, 55, 68, 15, 14, 23, 92, 24, 31, 8]"
69,66,"[4, 0, 32, 38, 57, 26, 15, 20, 83, 12, 70, 55, 58, 43, 75, 73, 46, 60, 86, 28, 31, 69, 59, 21, 62, 95, 3, 1, 49, 89, 74, 42, 47, 50, 52, 8, 99, 84, 11, 36]"
70,67,"[94, 55, 63, 10, 53, 97, 18, 39, 64, 75, 71, 22, 77, 8, 62, 13, 16, 45, 65, 38, 25, 90, 92, 91, 28, 42, 21, 95, 2, 84, 51, 1, 34, 19, 93, 31, 61, 23, 68, 3]"
71,68,"[58, 59, 71, 64, 2, 27, 73, 33, 39, 35, 69, 1, 28, 99, 76, 87, 79, 51, 55, 60, 57, 40, 49, 98, 62, 32, 95, 13, 31, 22, 54, 83, 7, 11, 74, 6, 77, 89, 68, 90]"
72,69,"[25, 78, 84, 53, 60, 65, 42, 75, 55, 94, 36, 91, 3, 68, 10, 14, 49, 59, 64, 67, 0, 37, 20, 24, 29, 99, 70, 34, 8, 35, 45, 54, 79, 50, 11, 69, 46, 92, 85, 16]"
73,70,"[13, 7, 68, 18, 60, 15, 69, 57, 92, 86, 28, 16, 44, 41, 61, 2, 39, 58, 12, 70, 98, 51, 45, 49, 71, 84, 32, 96, 72, 47, 21, 8, 38, 76, 19, 64, 77, 46, 78, 22]"
74,71,"[97, 82, 68, 26, 36, 46, 64, 25, 71, 7, 48, 19, 34, 85, 10, 21, 47, 32, 17, 69, 61, 43, 91, 93, 87, 77, 29, 63, 74, 5, 35, 92, 62, 11, 30, 16, 15, 2, 13, 84]"
75,72,"[97, 57, 28, 78, 3, 71, 45, 40, 42, 79, 0, 93, 98, 16, 80, 68, 41, 56, 44, 26, 43, 89, 76, 35, 2, 51, 67, 19, 31, 81, 94, 10, 53, 29, 5, 64, 12, 85, 86, 21]"
76,73,"[44, 34, 88, 82, 94, 84, 64, 51, 15, 32, 54, 33, 58, 69, 27, 86, 70, 12, 50, 22, 81, 17, 41, 96, 72, 57, 67, 53, 79, 89, 19, 73, 63, 97, 21, 39, 80, 48, 66, 55]"
77,74,"[37, 57, 77, 34, 49, 43, 64, 5, 16, 56, 63, 66, 0, 9, 40, 26, 71, 86, 30, 33, 32, 79, 46, 42, 67, 95, 13, 84, 39, 70, 93, 2, 68, 1, 14, 83, 75, 73, 6, 29]"
78,75,"[51, 48, 73, 78, 5, 13, 26, 92, 77, 41, 31, 90, 83, 62, 95, 65, 61, 80, 49, 24, 33, 39, 19, 70, 15, 75, 54, 85, 40, 6, 46, 91, 32, 52, 29, 93, 68, 45, 35, 50]"
