2,global_rounds,id_list
3,0,"[10, 11]"
4,1,"[10, 7]"
5,2,"[12, 1]"
6,3,"[6, 12]"
7,4,"[18, 19]"
8,5,"[13, 0]"
9,6,"[18, 7]"
10,7,"[19, 12]"
11,8,"[19, 4]"
12,9,"[9, 6]"
13,10,"[0, 4]"
14,11,"[19, 1]"
15,12,"[18, 13]"
16,13,"[3, 0]"
17,14,"[6, 2]"
18,15,"[13, 2]"
19,16,"[12, 13]"
20,17,"[8, 15]"
21,18,"[8, 3]"
22,19,"[1, 9]"
23,20,"[10, 12]"
24,21,"[7, 13]"
25,22,"[1, 4]"
26,23,"[11, 19]"
27,24,"[19, 11]"
28,25,"[6, 10]"
29,26,"[19, 10]"
30,27,"[11, 15]"
31,28,"[0, 11]"
32,29,"[3, 16]"
33,30,"[12, 2]"
34,31,"[3, 8]"
35,32,"[7, 17]"
36,33,"[19, 17]"
37,34,"[4, 11]"
38,35,"[10, 16]"
39,36,"[7, 2]"
40,37,"[3, 19]"
41,38,"[11, 4]"
42,39,"[3, 4]"
43,40,"[7, 11]"
44,41,"[3, 17]"
45,42,"[12, 14]"
46,43,"[6, 7]"
47,44,"[18, 3]"
48,45,"[3, 14]"
49,46,"[18, 6]"
50,47,"[18, 15]"
51,48,"[11, 2]"
52,49,"[4, 1]"
53,50,"[10, 6]"
54,51,"[19, 2]"
55,52,"[10, 19]"
56,53,"[5, 0]"
57,54,"[10, 6]"
58,55,"[4, 6]"
59,56,"[2, 8]"
60,57,"[2, 11]"
61,58,"[10, 3]"
62,59,"[10, 1]"
63,60,"[16, 5]"
64,61,"[1, 17]"
65,62,"[6, 9]"
66,63,"[11, 13]"
67,64,"[7, 0]"
68,65,"[19, 11]"
69,66,"[3, 14]"
70,67,"[6, 11]"
71,68,"[6, 16]"
72,69,"[11, 4]"
73,70,"[2, 3]"
74,71,"[2, 14]"
75,72,"[10, 19]"
76,73,"[1, 19]"
77,74,"[0, 2]"
78,75,"[6, 0]"
79,76,"[12, 4]"
80,77,"[7, 2]"
81,78,"[2, 1]"
82,79,"[4, 17]"
83,80,"[13, 18]"
84,81,"[16, 5]"
85,82,"[17, 14]"
86,83,"[3, 1]"
87,84,"[1, 18]"
88,85,"[0, 2]"
89,86,"[4, 6]"
90,87,"[18, 4]"
91,88,"[2, 0]"
92,89,"[11, 5]"
93,90,"[11, 8]"
94,91,"[19, 15]"
95,92,"[3, 13]"
96,93,"[6, 16]"
97,94,"[5, 6]"
98,95,"[14, 7]"
99,96,"[17, 7]"
100,97,"[0, 11]"
101,98,"[2, 0]"
102,99,"[3, 18]"
103,100,"[7, 2]"
