1,*********************,*********************
2,global_rounds,id_list
3,0,"[19, 16, 9, 5, 18, 4, 2, 10, 13, 12, 1, 11, 7, 3, 6, 15]"
4,1,"[11, 15, 6, 18, 0, 17, 12, 16, 8, 5, 1, 19, 7, 4, 3, 10]"
5,2,"[1, 18, 9, 5, 3, 15, 10, 13, 12, 17, 7, 2, 19, 11, 8, 0]"
6,3,"[12, 8, 1, 6, 17, 7, 16, 5, 14, 18, 11, 10, 19, 4, 0, 15]"
7,4,"[13, 15, 2, 12, 16, 8, 1, 4, 0, 5, 7, 14, 9, 18, 11, 6]"
8,5,"[11, 0, 4, 5, 2, 18, 6, 13, 8, 12, 7, 3, 19, 14, 1, 10]"
9,6,"[6, 15, 13, 17, 14, 5, 2, 8, 7, 3, 12, 16, 4, 9, 18, 0]"
10,7,"[18, 2, 13, 0, 4, 19, 9, 6, 1, 3, 5, 8, 11, 17, 7, 16]"
11,8,"[3, 17, 16, 1, 7, 12, 11, 4, 14, 15, 13, 6, 0, 9, 10, 2]"
12,9,"[13, 0, 18, 5, 2, 11, 17, 1, 9, 19, 15, 8, 12, 4, 14, 16]"
13,10,"[11, 1, 15, 14, 5, 19, 9, 0, 6, 4, 10, 8, 16, 2, 18, 17]"
14,11,"[2, 3, 17, 12, 0, 4, 8, 18, 1, 11, 10, 14, 7, 5, 9, 13]"
15,12,"[9, 11, 8, 4, 12, 3, 7, 17, 5, 6, 16, 15, 1, 0, 2, 19]"
16,13,"[5, 14, 7, 19, 2, 17, 13, 15, 9, 12, 10, 3, 6, 18, 1, 8]"
17,14,"[11, 5, 0, 8, 7, 4, 12, 14, 16, 3, 19, 1, 13, 18, 17, 2]"
18,15,"[3, 10, 1, 19, 0, 18, 9, 4, 5, 14, 8, 17, 2, 16, 15, 11]"
19,16,"[16, 6, 7, 12, 5, 11, 10, 14, 1, 9, 13, 17, 8, 2, 0, 3]"
20,17,"[15, 5, 10, 19, 16, 18, 12, 13, 14, 2, 9, 6, 3, 17, 7, 11]"
21,18,"[16, 10, 0, 5, 11, 18, 8, 6, 14, 13, 12, 19, 15, 3, 7, 1]"
22,19,"[9, 5, 12, 16, 17, 3, 6, 11, 13, 0, 14, 7, 8, 15, 1, 10]"
23,20,"[9, 2, 17, 11, 15, 18, 8, 0, 6, 13, 16, 4, 7, 19, 5, 12]"
24,21,"[14, 6, 9, 19, 4, 5, 11, 8, 10, 17, 16, 13, 3, 12, 1, 15]"
25,22,"[6, 2, 7, 4, 19, 15, 17, 8, 10, 16, 3, 18, 1, 0, 9, 12]"
26,23,"[15, 0, 11, 5, 4, 12, 2, 17, 1, 19, 7, 8, 3, 9, 14, 13]"
27,24,"[2, 3, 11, 13, 16, 17, 15, 18, 19, 10, 0, 8, 4, 6, 9, 1]"
28,25,"[1, 18, 10, 19, 2, 5, 15, 9, 16, 17, 7, 14, 0, 3, 4, 6]"
29,26,"[7, 6, 13, 5, 4, 14, 8, 10, 11, 9, 12, 0, 3, 18, 1, 15]"
30,27,"[11, 4, 6, 17, 10, 16, 1, 13, 9, 19, 15, 7, 12, 14, 5, 18]"
31,28,"[2, 18, 4, 19, 9, 3, 12, 16, 0, 5, 10, 1, 14, 6, 8, 13]"
32,29,"[15, 5, 7, 6, 0, 9, 19, 18, 16, 12, 3, 2, 13, 10, 1, 17]"
33,30,"[2, 13, 12, 16, 9, 8, 4, 3, 18, 7, 1, 14, 6, 5, 17, 11]"
34,31,"[14, 8, 12, 6, 1, 17, 16, 5, 4, 11, 10, 3, 0, 15, 19, 13]"
35,32,"[11, 10, 18, 0, 3, 1, 7, 15, 16, 17, 8, 9, 4, 14, 5, 6]"
36,33,"[3, 17, 6, 9, 7, 11, 16, 19, 13, 15, 18, 2, 5, 1, 10, 12]"
37,34,"[2, 12, 5, 16, 14, 19, 11, 0, 4, 6, 8, 9, 15, 13, 1, 18]"
38,35,"[6, 15, 11, 10, 14, 0, 19, 3, 4, 12, 2, 16, 18, 1, 17, 5]"
39,36,"[15, 9, 12, 14, 17, 10, 7, 0, 3, 1, 18, 19, 6, 2, 13, 5]"
40,37,"[6, 12, 11, 8, 4, 19, 15, 18, 17, 13, 14, 9, 16, 0, 3, 10]"
41,38,"[17, 4, 8, 15, 1, 7, 6, 2, 12, 10, 18, 5, 14, 9, 13, 0]"
42,39,"[19, 15, 3, 12, 8, 11, 1, 10, 0, 7, 4, 18, 6, 2, 13, 16]"
43,40,"[4, 18, 16, 1, 9, 8, 19, 6, 13, 3, 12, 5, 0, 15, 14, 10]"
44,41,"[2, 8, 3, 18, 7, 16, 6, 0, 4, 17, 1, 11, 10, 9, 13, 14]"
45,42,"[15, 17, 13, 18, 11, 7, 5, 6, 10, 3, 16, 19, 9, 12, 4, 0]"
46,43,"[7, 5, 2, 11, 3, 15, 13, 17, 14, 8, 12, 1, 19, 6, 10, 9]"
47,44,"[17, 19, 2, 1, 4, 6, 18, 13, 0, 15, 8, 5, 11, 9, 16, 14]"
48,45,"[18, 5, 13, 6, 16, 17, 15, 1, 10, 2, 4, 14, 11, 0, 3, 12]"
49,46,"[17, 14, 18, 10, 15, 11, 1, 2, 13, 0, 16, 4, 7, 19, 9, 6]"
