1,*********************,*********************
2,global_rounds,id_list
3,0,"[2, 10, 18, 0, 11, 6]"
4,1,"[8, 4, 11, 16, 14, 7]"
5,2,"[9, 3, 10, 12, 16, 18]"
6,3,"[5, 8, 13, 17, 15, 18]"
7,4,"[12, 13, 1, 16, 14, 2]"
8,5,"[5, 0, 18, 1, 12, 3]"
9,6,"[3, 18, 1, 9, 17, 12]"
10,7,"[19, 18, 13, 17, 14, 7]"
11,8,"[6, 13, 18, 2, 19, 12]"
12,9,"[0, 7, 13, 11, 9, 2]"
13,10,"[14, 3, 2, 4, 19, 1]"
14,11,"[13, 16, 18, 3, 11, 17]"
15,12,"[5, 13, 19, 3, 2, 17]"
16,13,"[15, 3, 16, 5, 12, 0]"
17,14,"[14, 16, 3, 19, 12, 17]"
18,15,"[1, 9, 0, 17, 6, 4]"
19,16,"[15, 10, 4, 19, 1, 18]"
20,17,"[11, 1, 2, 6, 10, 5]"
21,18,"[6, 11, 7, 2, 8, 4]"
22,19,"[9, 19, 12, 15, 11, 1]"
23,20,"[16, 19, 18, 4, 3, 17]"
24,21,"[15, 18, 19, 13, 12, 4]"
25,22,"[1, 14, 6, 0, 15, 17]"
26,23,"[15, 14, 19, 1, 12, 11]"
27,24,"[18, 0, 16, 3, 2, 15]"
28,25,"[15, 1, 10, 2, 5, 11]"
29,26,"[8, 6, 0, 13, 1, 12]"
30,27,"[14, 4, 2, 3, 8, 11]"
31,28,"[14, 12, 8, 17, 4, 16]"
32,29,"[17, 11, 12, 1, 16, 5]"
33,30,"[0, 6, 3, 9, 14, 15]"
34,31,"[18, 15, 8, 17, 5, 12]"
35,32,"[2, 3, 17, 12, 18, 8]"
36,33,"[7, 18, 12, 8, 15, 10]"
37,34,"[18, 1, 4, 10, 2, 12]"
38,35,"[16, 0, 4, 19, 13, 3]"
39,36,"[6, 18, 12, 17, 3, 5]"
40,37,"[4, 0, 8, 17, 9, 16]"
41,38,"[16, 15, 2, 9, 17, 5]"
42,39,"[7, 16, 3, 17, 9, 11]"
43,40,"[0, 11, 3, 14, 1, 7]"
44,41,"[6, 15, 2, 8, 7, 10]"
45,42,"[10, 5, 18, 6, 8, 11]"
46,43,"[15, 3, 4, 0, 19, 16]"
47,44,"[17, 18, 10, 8, 3, 15]"
48,45,"[9, 4, 14, 19, 17, 8]"
49,46,"[11, 2, 19, 0, 14, 15]"
50,47,"[19, 17, 14, 16, 7, 12]"
51,48,"[12, 6, 4, 1, 2, 16]"
52,49,"[1, 3, 7, 14, 6, 8]"
53,50,"[4, 11, 16, 3, 15, 2]"
54,51,"[10, 0, 3, 19, 14, 9]"
55,52,"[2, 9, 1, 16, 18, 4]"
56,53,"[1, 15, 2, 19, 18, 5]"
57,54,"[11, 16, 5, 7, 9, 17]"
58,55,"[19, 13, 14, 10, 18, 5]"
59,56,"[13, 12, 9, 6, 16, 4]"
60,57,"[0, 10, 1, 9, 12, 17]"
61,58,"[16, 9, 14, 5, 10, 18]"
62,59,"[5, 4, 0, 2, 18, 17]"
63,60,"[16, 10, 1, 7, 13, 4]"
64,61,"[19, 1, 16, 3, 17, 0]"
65,62,"[14, 17, 1, 10, 6, 3]"
66,63,"[11, 8, 13, 2, 5, 18]"
67,64,"[1, 17, 0, 12, 3, 16]"
68,65,"[10, 11, 4, 14, 2, 17]"
69,66,"[17, 10, 2, 14, 12, 5]"
70,67,"[9, 15, 8, 14, 5, 2]"
71,68,"[18, 14, 7, 8, 13, 10]"
72,69,"[18, 4, 7, 8, 13, 16]"
73,70,"[2, 15, 19, 14, 4, 3]"
74,71,"[17, 0, 2, 12, 13, 3]"
75,72,"[1, 6, 0, 2, 9, 11]"
76,73,"[6, 7, 16, 9, 17, 13]"
77,74,"[14, 5, 16, 13, 11, 10]"
78,75,"[17, 19, 8, 14, 15, 5]"
79,76,"[15, 19, 4, 10, 9, 8]"
80,77,"[5, 17, 6, 2, 8, 18]"
81,78,"[14, 8, 0, 19, 11, 18]"
82,79,"[0, 12, 9, 17, 4, 11]"
83,80,"[17, 10, 9, 2, 1, 7]"
84,81,"[19, 15, 4, 0, 13, 2]"
85,82,"[11, 12, 15, 14, 4, 6]"
86,83,"[16, 8, 1, 0, 18, 6]"
87,84,"[19, 12, 6, 10, 15, 3]"
88,85,"[16, 3, 17, 5, 14, 2]"
89,86,"[16, 5, 2, 8, 15, 9]"
90,87,"[5, 12, 18, 6, 1, 19]"
91,88,"[1, 11, 14, 19, 3, 5]"
92,89,"[1, 0, 17, 15, 13, 3]"
93,90,"[9, 14, 15, 0, 16, 13]"
94,91,"[0, 7, 13, 9, 4, 5]"
95,92,"[5, 16, 17, 2, 12, 1]"
96,93,"[16, 17, 1, 11, 12, 19]"
97,94,"[13, 11, 18, 15, 12, 8]"
98,95,"[7, 3, 17, 18, 10, 6]"
99,96,"[3, 7, 4, 15, 16, 11]"
100,97,"[11, 2, 13, 10, 1, 5]"
101,98,"[2, 16, 12, 8, 0, 7]"
102,99,"[19, 15, 16, 8, 5, 4]"
103,100,"[13, 7, 11, 4, 18, 10]"
